Name Math Java DS Average Total
张三8698 79 89 86 84 254
张三5771 79 100 86 88 265
张三739 74 75 65 71 214
张三5042 83 62 97 80 242
张三3183 72 66 87 75 225
张三6252 91 65 77 77 233
张三2652 75 69 71 71 215
张三9770 65 86 86 79 237
张三4408 87 63 93 81 243
张三1682 83 92 89 88 264
张三1775 94 63 64 73 221
张三1456 80 69 65 71 214
张三2591 82 100 90 90 272
张三3022 74 74 83 77 231
张三6111 98 85 68 83 251
张三4019 75 62 85 74 222
张三6388 67 93 100 86 260
张三413 78 86 82 82 246
张三575 86 92 61 79 239
张三6231 79 90 94 87 263
张三3140 93 99 82 91 274
张三621 60 94 78 77 232
张三9460 75 96 100 90 271
张三6986 87 93 64 81 244
张三4784 64 84 88 78 236
张三1391 75 60 96 77 231
张三7038 100 85 91 92 276
张三9998 100 81 96 92 277
张三4428 69 77 100 82 246
张三7726 89 60 96 81 245
张三1357 76 74 84 78 234
张三2899 91 95 69 85 255
张三8591 85 92 89 88 266
张三5067 67 100 73 80 240
张三6180 79 79 83 80 241
张三5764 100 93 84 92 277
张三100 87 64 82 77 233
张三4399 63 73 74 70 210
张三6094 89 94 100 94 283
张三4035 82 99 86 89 267
张三6672 97 95 75 89 267
张三4259 96 67 83 82 246
张三9789 99 79 94 90 272
张三876 95 69 77 80 241
张三126 65 87 88 80 240
张三4670 60 75 70 68 205
张三6493 62 72 63 65 197
张三3929 73 99 74 82 246
张三1294 99 65 99 87 263
张三7984 79 61 82 74 222
张三574 82 98 70 83 250
张三1486 100 65 93 86 258
张三5573 79 84 81 81 244
张三1632 81 76 71 76 228
张三9311 72 93 96 87 261
张三3086 72 62 82 72 216
张三4147 68 92 85 81 245
张三7804 95 79 64 79 238
张三8815 61 69 63 64 193
张三9509 63 64 75 67 202
张三5881 69 74 90 77 233
张三5023 62 95 66 74 223
张三3136 99 88 63 83 250
张三7197 73 91 60 74 224
张三4868 82 66 73 73 221
张三6655 74 79 95 82 248
张三1511 74 69 95 79 238
张三2086 73 98 67 79 238
张三8643 88 88 89 88 265
张三1313 94 73 82 83 249
张三8794 98 60 90 82 248
张三7850 94 86 84 88 264
张三2068 84 64 69 72 217
张三191 100 69 63 77 232
张三4036 81 93 65 79 239
张三3555 71 86 79 78 236
张三1873 79 74 97 83 250
张三6299 80 86 69 78 235
张三2241 75 65 66 68 206
张三5742 66 88 95 83 249
张三6863 70 98 63 77 231
张三620 81 76 67 74 224
张三4282 87 88 83 86 258
张三9904 75 90 79 81 244
张三8789 99 95 85 93 279
张三184 66 77 85 76 228
张三9973 98 94 71 87 263
张三6394 98 87 69 84 254
张三8889 79 67 66 70 212
张三3043 76 84 67 75 227
张三9317 74 77 76 75 227
张三5738 76 98 81 85 255
张三5082 75 86 92 84 253
张三5174 74 81 74 76 229
张三6914 69 73 99 80 241
张三8363 95 97 64 85 256
张三4835 68 60 63 63 191
张三4289 99 69 84 84 252
张三4529 67 90 96 84 253
张三3743 81 98 81 86 260
张三8694 90 79 68 79 237
张三5558 89 62 70 73 221
张三6830 82 92 94 89 268
张三3955 92 69 78 79 239
张三9468 89 87 77 84 253
张三4253 67 77 77 73 221
张三5282 83 66 70 73 219
张三6649 69 79 78 75 226
张三2094 79 100 97 92 276
张三299 79 83 84 82 246
张三5219 91 99 70 86 260
张三2437 90 66 82 79 238
张三9153 66 68 95 76 229
张三9741 73 76 79 76 228
张三1061 97 87 91 91 275
张三1689 91 89 73 84 253
张三7054 94 85 93 90 272
张三8125 77 72 77 75 226
张三4716 83 66 78 75 227
张三5751 84 76 97 85 257
张三7885 67 79 71 72 217
张三796 61 97 61 73 219
张三2127 95 96 100 97 291
张三7567 92 94 72 86 258
张三1921 98 90 88 92 276
张三5109 64 60 75 66 199
张三2995 98 74 62 78 234
张三6726 90 81 86 85 257
张三5809 64 75 84 74 223
张三9549 86 65 79 76 230
张三8663 95 75 83 84 253
张三3915 67 94 61 74 222
张三1397 95 97 69 87 261
张三4767 72 88 77 79 237
张三3163 93 91 93 92 277
张三9792 61 99 97 85 257
张三249 66 75 66 69 207
张三1542 87 82 82 83 251
张三2429 63 62 94 73 219
张三3263 64 84 72 73 220
张三8810 61 86 81 76 228
张三637 81 98 74 84 253
张三6669 63 75 82 73 220
张三4191 64 68 85 72 217
张三9235 94 69 69 77 232
张三9584 88 72 82 80 242
张三908 76 69 66 70 211
张三5498 80 73 99 84 252
张三891 96 68 88 84 252
张三1373 64 65 95 74 224
张三8696 90 97 76 87 263
张三9695 91 71 80 80 242
张三7519 99 97 90 95 286
张三69 73 90 96 86 259
张三3962 93 77 61 77 231
张三4823 81 60 98 79 239
张三5053 88 87 93 89 268
张三8329 73 68 82 74 223
张三6066 74 63 68 68 205
张三4809 94 74 72 80 240
张三5113 76 61 77 71 214
张三1833 85 64 99 82 248
张三2976 97 93 96 95 286
张三9230 84 73 89 82 246
张三9159 94 76 60 76 230
张三5647 93 81 87 87 261
张三7641 94 98 75 89 267
张三7496 61 97 75 77 233
张三8305 81 64 99 81 244
张三7477 79 88 69 78 236
张三2510 95 92 93 93 280
张三2450 73 92 96 87 261
张三3803 61 86 99 82 246
张三2850 70 61 75 68 206
张三7222 71 85 89 81 245
张三8379 71 90 74 78 235
张三3188 86 80 85 83 251
张三7211 81 98 77 85 256
张三4455 74 87 87 82 248
张三8431 62 97 63 74 222
张三7087 65 71 79 71 215
张三9924 68 87 67 74 222
张三8949 71 69 91 77 231
张三6461 66 83 64 71 213
张三1688 93 70 61 74 224
张三5194 65 66 69 66 200
张三4676 96 95 79 90 270
张三8284 72 99 63 78 234
张三1887 95 66 78 79 239
张三4905 79 99 85 87 263
张三5199 72 100 66 79 238
张三7336 85 86 65 78 236
张三82 93 80 65 79 238
张三8368 93 64 60 72 217
张三2166 84 65 98 82 247
张三9761 89 90 67 82 246
张三5642 65 68 100 77 233
张三3977 73 60 67 66 200
张三6994 78 91 76 81 245
张三3901 62 92 99 84 253
张三32 77 90 82 83 249
张三7797 83 68 97 82 248
张三697 91 62 75 76 228
张三9209 68 85 93 82 246
张三2616 71 72 93 78 236
张三4046 72 81 80 77 233
张三6894 73 89 94 85 256
张三9570 77 83 97 85 257
张三2104 99 93 61 84 253
张三2506 97 87 69 84 253
张三2967 67 61 90 72 218
张三6035 67 99 77 81 243
张三8683 92 99 100 97 291
张三7839 62 74 94 76 230
张三4399 74 66 97 79 237
张三3982 93 91 64 82 248
张三1796 63 91 76 76 230
张三5820 90 62 94 82 246
张三7256 70 67 61 66 198
张三9671 72 86 86 81 244
张三8597 66 80 90 78 236
张三1485 84 62 88 78 234
张三3852 66 92 82 80 240
张三1226 66 63 90 73 219
张三8063 87 62 73 74 222
张三4195 89 66 64 73 219
张三6569 89 86 92 89 267
张三9033 71 98 84 84 253
张三5771 60 79 86 75 225
张三4607 85 92 94 90 271
张三4838 72 67 97 78 236
张三539 68 64 81 71 213
张三4343 68 67 96 77 231
张三8567 93 93 98 94 284
张三293 78 70 62 70 210
张三4486 100 82 83 88 265
张三4549 85 68 61 71 214
张三2908 73 80 76 76 229
张三5083 68 73 76 72 217
张三9532 90 81 81 84 252
张三2081 73 70 96 79 239
张三8177 63 75 64 67 202
张三8346 79 70 76 75 225
张三2309 91 61 95 82 247
张三4984 74 88 88 83 250
张三3258 67 72 75 71 214
张三5856 74 89 95 86 258
张三9889 65 85 62 70 212
张三6757 78 68 91 79 237
张三6923 91 67 90 82 248
张三7823 75 74 71 73 220
张三1654 66 71 98 78 235
张三112 89 89 89 89 267
张三1286 67 66 72 68 205
张三9868 93 76 100 89 269
张三5596 61 96 63 73 220
张三6408 96 93 83 90 272
张三2184 79 71 71 73 221
张三2151 95 63 85 81 243
张三4013 86 77 91 84 254
张三5730 77 70 86 77 233
张三1461 70 88 67 75 225
张三1674 95 80 67 80 242
张三3640 74 63 82 73 219
张三2654 66 72 69 69 207
张三6170 96 78 73 82 247
张三2739 81 73 88 80 242
张三5175 96 98 81 91 275
张三2664 94 60 99 84 253
张三9689 99 79 88 88 266
张三574 100 94 74 89 268
张三7230 79 78 70 75 227
张三4228 73 65 65 67 203
张三9751 75 82 67 74 224
张三3126 100 62 67 76 229
张三9695 97 95 73 88 265
张三1554 81 74 87 80 242
张三8391 75 71 83 76 229
张三6011 61 96 71 76 228
张三1507 93 62 90 81 245
张三2995 99 96 97 97 292
张三8799 70 60 72 67 202
张三5634 70 81 82 77 233
张三7853 96 82 82 86 260
张三125 70 77 69 72 216
张三4097 70 95 75 80 240
张三5472 90 99 60 83 249
张三1758 79 88 88 85 255
张三2481 62 83 76 73 221
张三3024 97 84 62 81 243
张三516 69 79 85 77 233
张三5120 96 75 61 77 232
张三2961 62 79 89 76 230
张三7536 81 89 76 82 246
张三4888 75 84 84 81 243
张三4127 71 87 74 77 232
张三8897 73 63 60 65 196
张三7317 76 76 97 83 249
张三7608 81 90 76 82 247
张三4117 62 97 92 83 251
张三3781 88 81 69 79 238
张三6215 96 76 94 88 266
张三1537 90 74 62 75 226
张三8829 60 63 68 63 191
张三4665 87 61 67 71 215
张三5579 71 66 87 74 224
张三479 86 100 68 84 254
张三9083 98 68 95 87 261
张三216 68 68 82 72 218
张三9517 89 91 70 83 250
张三9444 74 84 84 80 242
张三5863 95 73 64 77 232
张三4445 61 85 70 72 216
张三7067 86 94 62 80 242
张三3081 69 94 61 74 224
张三2830 61 75 78 71 214
张三1086 96 95 61 84 252
张三6281 76 89 68 77 233
张三7276 95 90 63 82 248
张三3227 68 89 80 79 237
张三3657 72 98 75 81 245
张三5227 76 70 81 75 227
张三8902 87 66 63 72 216
张三6217 92 79 73 81 244
张三6169 73 99 90 87 262
张三4896 81 61 72 71 214
张三8749 94 90 92 92 276
张三7625 81 83 94 86 258
张三9509 88 79 98 88 265
张三9036 94 68 72 78 234
张三2609 96 85 85 88 266
张三100 86 83 75 81 244
张三8482 100 89 99 96 288
张三5884 89 86 71 82 246
张三5526 85 87 73 81 245
张三7687 90 70 77 79 237
张三4520 68 93 99 86 260
张三6834 75 92 91 86 258
张三4209 81 78 66 75 225
张三9810 73 60 82 71 215
张三9055 83 96 88 89 267
张三6991 82 95 79 85 256
张三2616 85 88 94 89 267
张三9678 85 93 75 84 253
张三2550 76 90 100 88 266
张三2667 89 90 97 92 276
张三5691 63 83 88 78 234
张三2098 82 67 98 82 247
张三4205 68 98 90 85 256
张三772 85 65 82 77 232
张三6277 90 72 84 82 246
张三5708 82 84 96 87 262
张三7319 74 71 61 68 206
张三5126 61 78 70 69 209
张三180 90 93 73 85 256
张三4615 94 64 68 75 226
张三5316 75 78 89 80 242
张三4685 62 100 75 79 237
张三4413 62 86 81 76 229
张三4454 79 68 89 78 236
张三3438 63 76 99 79 238
张三8679 83 92 96 90 271
张三3586 60 85 65 70 210
张三7862 86 91 66 81 243
张三1105 75 88 81 81 244
张三3668 67 100 71 79 238
张三9479 91 70 75 78 236
张三4362 67 89 98 84 254
张三9932 95 85 96 92 276
张三7511 78 80 87 81 245
张三8757 93 87 71 83 251
张三9662 91 72 85 82 248
张三2410 60 77 60 65 197
张三5240 77 75 77 76 229
张三3875 78 61 92 77 231
张三9369 92 69 99 86 260
张三6263 66 63 63 64 192
张三1865 87 86 100 91 273
张三2124 100 61 72 77 233
张三2117 92 85 86 87 263
张三9454 74 68 95 79 237
张三7079 79 82 80 80 241
张三7856 78 74 94 82 246
张三7109 77 78 91 82 246
张三861 83 90 98 90 271
张三6879 79 78 76 77 233
张三2859 86 79 89 84 254
张三1073 66 68 91 75 225
张三1624 62 82 90 78 234
张三7113 89 61 90 80 240
张三9920 87 80 91 86 258
张三9631 72 89 75 78 236
张三2144 63 95 71 76 229
张三3920 95 71 92 86 258
张三4519 64 60 99 74 223
张三8084 64 73 90 75 227
张三9754 86 87 90 87 263
张三6109 98 86 62 82 246
张三9719 76 74 96 82 246
张三6609 95 69 89 84 253
张三2048 85 93 95 91 273
张三4427 74 99 87 86 260
张三9197 60 88 73 73 221
张三4871 66 68 74 69 208
张三886 63 72 61 65 196
张三2762 67 91 76 78 234
张三3454 87 77 94 86 258
张三1054 72 79 78 76 229
张三2048 92 61 69 74 222
张三6245 62 68 88 72 218
张三4177 83 86 77 82 246
张三292 86 91 80 85 257
张三5560 95 95 89 93 279
张三1277 61 68 84 71 213
张三1777 83 94 64 80 241
张三7532 72 97 76 81 245
张三1686 97 68 84 83 249
张三2464 63 81 83 75 227
张三1081 69 78 90 79 237
张三9798 85 73 90 82 248
张三7578 60 90 61 70 211
张三1464 95 98 68 87 261
张三192 61 98 86 81 245
张三2871 62 62 97 73 221
张三9596 71 95 73 79 239
张三2758 94 66 99 86 259
张三7519 76 84 79 79 239
张三7396 98 93 88 93 279
张三6286 77 61 91 76 229
张三1322 87 69 87 81 243
张三1954 91 95 98 94 284
张三9378 77 82 87 82 246
张三7029 86 63 73 74 222
张三7224 63 74 61 66 198
张三1238 85 76 87 82 248
张三117 84 100 64 82 248
张三1346 87 72 97 85 256
张三2127 99 68 96 87 263
张三3468 79 83 64 75 226
张三546 80 87 89 85 256
张三3878 64 78 94 78 236
张三2714 95 98 90 94 283
张三6780 94 97 79 90 270
张三4979 76 63 95 78 234
张三15 93 89 81 87 263
张三6021 95 75 90 86 260
张三2194 70 96 82 82 248
张三9279 69 64 85 72 218
张三7207 97 74 82 84 253
张三1681 91 61 97 83 249
张三4622 61 77 95 77 233
张三8441 93 88 76 85 257
张三6919 80 78 98 85 256
张三6098 83 79 65 75 227
张三7043 74 62 80 72 216
张三8588 83 94 65 80 242
张三2269 99 76 92 89 267
张三3511 81 67 64 70 212
张三2834 100 93 74 89 267
张三8375 61 90 73 74 224
张三6322 75 74 66 71 215
张三8996 64 94 66 74 224
张三1278 66 76 61 67 203
张三4818 84 75 89 82 248
张三6040 66 73 65 68 204
张三8363 94 77 61 77 232
张三1225 76 80 67 74 223
张三8527 74 99 74 82 247
张三6912 93 86 78 85 257
张三9980 63 80 81 74 224
张三7921 72 67 76 71 215
张三3357 100 68 91 86 259
张三3236 69 90 64 74 223
张三3504 76 64 64 68 204
张三7999 69 77 86 77 232
张三5477 92 73 72 79 237
张三9070 89 69 76 78 234
张三532 61 65 71 65 197
张三7640 66 94 72 77 232
张三6844 93 84 88 88 265
张三4846 90 84 71 81 245
张三2155 65 75 66 68 206
张三8895 70 76 85 77 231
张三8104 100 61 85 82 246
张三4648 84 99 98 93 281
张三8442 90 90 86 88 266
张三9163 84 77 93 84 254
张三5888 81 76 82 79 239
张三9153 76 82 83 80 241
张三4820 93 75 89 85 257
张三8849 95 85 81 87 261
张三9548 69 79 94 80 242
张三9241 67 69 90 75 226
张三388 97 97 76 90 270
张三2170 96 71 66 77 233
张三2277 65 77 89 77 231
张三5259 79 90 87 85 256
张三3127 95 80 62 79 237
张三6138 70 81 73 74 224
张三1673 96 85 86 89 267
张三6964 93 98 61 84 252
张三7034 67 66 63 65 196
张三2697 96 96 65 85 257
张三4694 89 89 95 91 273
张三9114 88 93 98 93 279
张三6167 75 93 100 89 268
张三9033 84 92 96 90 272
张三2035 100 87 95 94 282
张三7732 82 82 72 78 236
张三607 66 84 96 82 246
张三1035 82 69 76 75 227
张三6926 69 79 72 73 220
张三2036 66 66 74 68 206
张三9332 76 99 80 85 255
张三4944 90 87 86 87 263
张三3333 63 91 96 83 250
张三7028 64 76 83 74 223
张三4997 100 97 79 92 276
张三2132 82 60 70 70 212
张三8581 75 97 77 83 249
张三1744 85 71 94 83 250
张三5649 80 66 100 82 246
张三2079 60 84 72 72 216
张三5384 73 66 70 69 209
张三8182 77 80 95 84 252
张三8333 95 75 67 79 237
张三8491 74 80 88 80 242
张三8298 95 75 78 82 248
张三5875 62 92 94 82 248
张三9625 84 74 76 78 234
张三3589 70 94 64 76 228
张三9580 97 82 86 88 265
张三7146 68 67 87 74 222
张三8077 65 72 80 72 217
张三5569 72 74 80 75 226
张三9462 100 60 79 79 239
张三8014 76 64 100 80 240
张三3577 97 97 97 97 291
张三4217 67 91 62 73 220
张三5849 86 85 94 88 265
张三9771 93 75 60 76 228
张三8615 73 90 89 84 252
张三9687 66 94 93 84 253
张三8415 70 73 85 76 228
张三6220 81 100 68 83 249
张三6476 77 72 88 79 237
张三9452 61 99 83 81 243
张三2125 90 97 69 85 256
张三1579 81 97 84 87 262
张三1337 87 75 99 87 261
张三8415 89 72 90 83 251
张三5169 77 66 88 77 231
张三4050 83 90 60 77 233
张三5283 70 65 100 78 235
张三7179 69 96 70 78 235
张三6305 61 98 77 78 236
张三43 89 65 64 72 218
张三7232 86 81 67 78 234
张三3487 97 93 78 89 268
张三6621 90 99 91 93 280
张三4083 77 67 60 68 204
张三8784 82 76 78 78 236
张三1826 85 87 64 78 236
张三711 71 77 60 69 208
张三9358 88 92 100 93 280
张三1970 63 92 92 82 247
张三6193 94 62 73 76 229
张三2264 74 68 71 71 213
张三3948 81 84 87 84 252
张三3931 81 64 87 77 232
张三1021 89 66 90 81 245
张三9062 93 61 94 82 248
张三7716 80 66 70 72 216
张三3495 66 79 71 72 216
张三5281 71 83 78 77 232
张三2400 68 66 73 69 207
张三4849 92 93 75 86 260
张三4681 89 97 99 95 285
张三4734 73 67 65 68 205
张三5921 72 63 73 69 208
张三7086 62 76 91 76 229
张三2109 98 86 65 83 249
张三7359 80 67 70 72 217
张三8854 94 89 60 81 243
张三2587 100 98 90 96 288
张三3330 86 70 81 79 237
张三6934 72 68 71 70 211
张三8676 61 87 61 69 209
张三5487 84 67 79 76 230
张三3063 60 66 60 62 186
张三9793 62 86 87 78 235
张三8185 89 92 74 85 255
张三1091 68 98 62 76 228
张三4355 77 84 86 82 247
张三9736 91 60 77 76 228
张三1987 62 61 84 69 207
张三1761 70 81 69 73 220
张三1644 76 66 70 70 212
张三6109 64 82 64 70 210
张三7400 91 85 67 81 243
张三8440 86 87 65 79 238
张三748 61 95 73 76 229
张三51 70 94 75 79 239
张三4763 61 66 97 74 224
张三2855 100 97 84 93 281
张三759 90 86 80 85 256
张三3895 92 85 65 80 242
张三2169 100 81 79 86 260
张三5385 81 66 75 74 222
张三2857 76 76 65 72 217
张三8742 78 88 64 76 230
张三9611 94 80 75 83 249
张三3586 88 91 61 80 240
张三1030 88 79 87 84 254
张三5197 100 61 62 74 223
张三7534 81 98 91 90 270
张三6384 81 61 97 79 239
张三9722 63 93 65 73 221
张三2266 97 95 82 91 274
张三4810 98 67 85 83 250
张三8929 87 97 74 86 258
张三3376 88 76 66 76 230
张三9424 71 64 60 65 195
张三1123 96 82 98 92 276
张三3117 67 72 73 70 212
张三2913 62 75 74 70 211
张三6832 70 89 89 82 248
张三8770 81 73 72 75 226
张三8779 65 82 71 72 218
张三4104 91 82 68 80 241
张三8743 61 72 61 64 194
张三8868 77 91 71 79 239
张三518 88 75 71 78 234
张三2870 89 78 69 78 236
张三5045 73 93 66 77 232
张三6990 70 83 74 75 227
张三5237 69 72 78 73 219
张三2494 88 100 87 91 275
张三5987 62 74 86 74 222
张三3205 62 78 86 75 226
张三5300 96 71 85 84 252
张三7740 68 75 80 74 223
张三5060 98 65 72 78 235
张三1531 63 100 68 77 231
张三2383 65 89 80 78 234
张三891 85 90 97 90 272
张三5048 65 87 83 78 235
张三3805 70 95 60 75 225
张三6975 86 63 87 78 236
张三4709 97 73 67 79 237
张三2233 87 90 82 86 259
张三2970 73 64 82 73 219
张三8547 76 87 80 81 243
张三7291 79 95 60 78 234
张三3781 62 63 85 70 210
张三771 74 96 67 79 237
张三1385 66 92 88 82 246
张三3853 75 93 61 76 229
张三3270 92 80 71 81 243
张三4868 65 70 63 66 198
张三1088 89 77 86 84 252
张三425 62 93 68 74 223
张三9405 93 90 100 94 283
张三359 96 79 95 90 270
张三6727 98 68 89 85 255
张三4461 69 99 99 89 267
张三2876 94 63 64 73 221
张三728 97 69 93 86 259
张三3671 84 87 64 78 235
张三7356 67 67 81 71 215
张三6401 60 72 88 73 220
张三3190 78 77 95 83 250
张三2075 88 68 86 80 242
张三3885 82 80 96 86 258
张三2909 60 79 85 74 224
张三3466 78 60 68 68 206
张三6036 91 96 70 85 257
张三3555 63 81 93 79 237
张三6913 86 73 73 77 232
张三4961 87 69 83 79 239
张三8408 87 70 75 77 232
张三8869 74 87 93 84 254
张三4026 61 73 65 66 199
张三7364 89 98 60 82 247
张三6281 74 100 99 91 273
张三5501 63 83 95 80 241
张三3652 60 62 100 74 222
张三9658 73 75 89 79 237
张三2133 63 68 79 70 210
张三9393 79 78 68 75 225
张三9838 72 93 93 86 258
张三2540 81 60 61 67 202
张三5633 87 65 75 75 227
张三5759 79 81 96 85 256
张三5290 96 68 80 81 244
张三5269 62 91 80 77 233
张三1116 60 65 94 73 219
张三5007 84 70 77 77 231
张三3555 66 93 62 73 221
张三1909 96 79 72 82 247
张三5724 99 99 91 96 289
张三573 94 95 66 85 255
张三4365 63 70 96 76 229
张三2002 93 79 85 85 257
张三3201 71 89 96 85 256
张三3672 77 82 87 82 246
张三7144 78 60 100 79 238
张三646 62 86 75 74 223
张三8366 90 94 86 90 270
张三9957 72 62 100 78 234
张三7682 60 92 65 72 217
张三2990 64 85 97 82 246
张三7237 92 88 88 89 268
张三3097 78 98 97 91 273
张三2970 78 85 75 79 238
张三8147 83 63 63 69 209
张三7829 100 80 71 83 251
张三271 72 98 97 89 267
张三9208 89 73 65 75 227
张三7509 64 87 66 72 217
张三6606 61 84 81 75 226
张三4572 83 77 73 77 233
张三7956 93 63 90 82 246
张三2492 82 92 72 82 246
张三5612 95 60 70 75 225
张三9325 78 95 64 79 237
张三5478 63 62 93 72 218
张三6685 63 97 96 85 256
张三5247 97 89 92 92 278
张三9316 67 100 92 86 259
张三224 60 67 87 71 214
张三7413 78 97 66 80 241
张三7724 88 92 77 85 257
张三3950 93 80 64 79 237
张三3494 73 66 92 77 231
张三1717 72 61 94 75 227
张三6179 85 77 94 85 256
张三7304 82 70 89 80 241
张三8254 94 75 76 81 245
张三1751 91 82 71 81 244
张三4452 98 98 62 86 258
张三103 67 91 89 82 247
张三1124 81 68 98 82 247
张三4582 95 69 73 79 237
张三2529 61 82 78 73 221
张三8613 69 84 65 72 218
张三2528 71 70 88 76 229
张三1420 70 90 85 81 245
张三2646 90 61 70 73 221
张三5441 97 94 69 86 260
张三3 94 93 76 87 263
张三1249 60 74 60 64 194
张三1060 66 71 68 68 205
张三7255 60 77 97 78 234
张三9683 84 76 97 85 257
张三3875 71 99 65 78 235
张三485 78 93 83 84 254
张三4415 87 88 93 89 268
张三933 78 82 94 84 254
张三7393 82 75 60 72 217
张三8190 99 100 75 91 274
张三7518 93 86 79 86 258
张三9163 84 80 75 79 239
张三5065 74 86 61 73 221
张三4758 83 75 100 86 258
张三5859 90 84 70 81 244
张三1786 69 69 96 78 234
张三6608 88 63 99 83 250
张三8519 72 84 97 84 253
张三2802 66 78 79 74 223
张三2364 72 81 98 83 251
张三8906 63 99 64 75 226
张三636 99 82 60 80 241
张三3073 78 69 97 81 244
张三7899 72 68 94 78 234
张三1120 99 63 87 83 249
张三5861 71 60 91 74 222
张三6958 81 76 97 84 254
张三4293 90 77 93 86 260
张三9237 67 100 74 80 241
张三3952 62 81 64 69 207
张三6419 88 83 92 87 263
张三4980 62 66 87 71 215
张三5001 78 100 94 90 272
张三6761 88 95 72 85 255
张三8125 70 87 81 79 238
张三7710 100 93 92 95 285
